fare_id,line_id,origin_station_id,destination_station_id,ticket_type_id,currency,fare_amount,source_file
MRT_PINK_adult_PK01_PK01,MRT_PINK,PK01,PK01,adult,THB,15.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK01,MRT_PINK,PK30,PK01,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK01,MRT_PINK,PK01,PK01,senior,THB,8.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK01,MRT_PINK,PK30,PK01,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK02,MRT_PINK,PK01,PK02,adult,THB,18.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK02,MRT_PINK,PK30,PK02,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK02,MRT_PINK,PK01,PK02,senior,THB,9.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK02,MRT_PINK,PK30,PK02,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK03,MRT_PINK,PK01,PK03,adult,THB,25.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK03,MRT_PINK,PK30,PK03,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK03,MRT_PINK,PK01,PK03,senior,THB,12.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK03,MRT_PINK,PK30,PK03,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK04,MRT_PINK,PK01,PK04,adult,THB,28.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK04,MRT_PINK,PK30,PK04,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK04,MRT_PINK,PK01,PK04,senior,THB,14.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK04,MRT_PINK,PK30,PK04,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK05,MRT_PINK,PK01,PK05,adult,THB,30.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK05,MRT_PINK,PK30,PK05,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK05,MRT_PINK,PK01,PK05,senior,THB,15.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK05,MRT_PINK,PK30,PK05,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK06,MRT_PINK,PK01,PK06,adult,THB,34.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK06,MRT_PINK,PK30,PK06,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK06,MRT_PINK,PK01,PK06,senior,THB,17.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK06,MRT_PINK,PK30,PK06,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK07,MRT_PINK,PK01,PK07,adult,THB,37.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK07,MRT_PINK,PK30,PK07,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK07,MRT_PINK,PK01,PK07,senior,THB,19.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK07,MRT_PINK,PK30,PK07,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK08,MRT_PINK,PK01,PK08,adult,THB,41.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK08,MRT_PINK,PK30,PK08,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK08,MRT_PINK,PK01,PK08,senior,THB,21.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK08,MRT_PINK,PK30,PK08,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK09,MRT_PINK,PK01,PK09,adult,THB,44.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK09,MRT_PINK,PK30,PK09,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK09,MRT_PINK,PK01,PK09,senior,THB,22.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK09,MRT_PINK,PK30,PK09,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK10,MRT_PINK,PK01,PK10,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK10,MRT_PINK,PK30,PK10,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK10,MRT_PINK,PK01,PK10,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK10,MRT_PINK,PK30,PK10,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_MT01,MRT_PINK,PK01,MT01,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_MT01,MRT_PINK,PK30,MT01,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_MT01,MRT_PINK,PK01,MT01,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_MT01,MRT_PINK,PK30,MT01,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_MT02,MRT_PINK,PK01,MT02,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_MT02,MRT_PINK,PK30,MT02,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_MT02,MRT_PINK,PK01,MT02,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_MT02,MRT_PINK,PK30,MT02,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK11,MRT_PINK,PK01,PK11,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK11,MRT_PINK,PK30,PK11,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK11,MRT_PINK,PK01,PK11,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK11,MRT_PINK,PK30,PK11,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK12,MRT_PINK,PK01,PK12,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK30_PK12,MRT_PINK,PK30,PK12,adult,THB,45.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK01_PK12,MRT_PINK,PK01,PK12,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_senior_PK30_PK12,MRT_PINK,PK30,PK12,senior,THB,23.0,gemini-code-1781773096961.md
MRT_PINK_adult_PK01_PK13,MRT_PINK,PK01,PK13,adult,THB,45.0,gemini-code-1781773096961.md
