route_id,station_id,stop_sequence
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK01,1
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK02,2
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK03,3
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK04,4
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK05,5
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK06,6
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK07,7
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK08,8
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK09,9
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK10,10
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,MT01,11
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,MT02,12
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK11,13
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK12,14
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK13,15
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK14,16
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK15,17
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK16,18
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK17,19
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK18,20
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK19,21
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK20,22
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK21,23
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK22,24
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK23,25
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK24,26
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK25,27
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK26,28
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK27,29
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK28,30
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK29,31
MRT_PINK_MAIN_WITH_MT_SPUR_REFERENCE,PK30,32
MRT_YELLOW_REFERENCE,YL01,1
MRT_YELLOW_REFERENCE,YL02,2
MRT_YELLOW_REFERENCE,YL03,3
MRT_YELLOW_REFERENCE,YL04,4
MRT_YELLOW_REFERENCE,YL05,5
MRT_YELLOW_REFERENCE,YL06,6
MRT_YELLOW_REFERENCE,YL07,7
MRT_YELLOW_REFERENCE,YL08,8
MRT_YELLOW_REFERENCE,YL09,9
MRT_YELLOW_REFERENCE,YL10,10
MRT_YELLOW_REFERENCE,YL11,11
MRT_YELLOW_REFERENCE,YL12,12
MRT_YELLOW_REFERENCE,YL13,13
MRT_YELLOW_REFERENCE,YL14,14
MRT_YELLOW_REFERENCE,YL15,15
MRT_YELLOW_REFERENCE,YL16,16
MRT_YELLOW_REFERENCE,YL17,17
MRT_YELLOW_REFERENCE,YL18,18
MRT_YELLOW_REFERENCE,YL19,19
MRT_YELLOW_REFERENCE,YL20,20
MRT_YELLOW_REFERENCE,YL21,21
MRT_YELLOW_REFERENCE,YL22,22
MRT_YELLOW_REFERENCE,YL23,23
